"year","site","collector","species","sex","size","weight","comment"
2008,"Neguac",26,"Cancer irroratus","F",33,5.22,""
2008,"Neguac",26,"Cancer irroratus","F",20,NA,""
2008,"Neguac",26,"Cancer irroratus","M",20,NA,""
2008,"Neguac",26,"Cancer irroratus","M",18,NA,""
2008,"Neguac",26,"Cancer irroratus","M",23,NA,""
2008,"Neguac",26,"Cancer irroratus","M",20,NA,""
2008,"Neguac",26,"Cancer irroratus","F",24,NA,""
2008,"Neguac",26,"Cancer irroratus","M",18,NA,""
2008,"Neguac",26,"Cancer irroratus","F",17,NA,""
2008,"Neguac",26,"Cancer irroratus","M",19,NA,""
2008,"Neguac",26,"Cancer irroratus","M",17,NA,""
2008,"Neguac",26,"Cancer irroratus","F",16,NA,""
2008,"Neguac",26,"Cancer irroratus","F",12,NA,""
2008,"Neguac",26,"Cancer irroratus","F",10,NA,""
2008,"Neguac",26,"Cancer irroratus","F",9,NA,""
2008,"Neguac",26,"Cancer irroratus","F",8,NA,""
2008,"Neguac",26,"Cancer irroratus","M",15,NA,""
2008,"Neguac",26,"Cancer irroratus","M",15,NA,""
2008,"Neguac",26,"Cancer irroratus","M",16,NA,""
2008,"Neguac",26,"Cancer irroratus","F",15,NA,""
2008,"Neguac",26,"Cancer irroratus","M",13,NA,""
2008,"Neguac",26,"Cancer irroratus","M",10,NA,""
2008,"Neguac",26,"Cancer irroratus","M",10,NA,""
2008,"Neguac",26,"Cancer irroratus","M",10,NA,""
2008,"Neguac",26,"Cancer irroratus","M",9,NA,""
2008,"Neguac",26,"Cancer irroratus","F",9,NA,""
2008,"Neguac",26,"Cancer irroratus","M",9,NA,""
2008,"Neguac",26,"Cancer irroratus","F",8,NA,""
2008,"Neguac",26,"Cancer irroratus","F",13,NA,""
2008,"Neguac",26,"Cancer irroratus","F",14,NA,""
2008,"Neguac",26,"Cancer irroratus","M",15,NA,""
2008,"Neguac",26,"Cancer irroratus","M",15,NA,""
2008,"Neguac",26,"Cancer irroratus","F",15,NA,""
2008,"Neguac",26,"Cancer irroratus","F",15,NA,""
2008,"Neguac",26,"Cancer irroratus","M",14,NA,""
2008,"Neguac",26,"Cancer irroratus","F",12,NA,""
2008,"Neguac",26,"Cancer irroratus","M",10,NA,""
2008,"Neguac",26,"Cancer irroratus","M",11,NA,""
2008,"Neguac",26,"Cancer irroratus","F",10,NA,""
2008,"Neguac",26,"Cancer irroratus","F",8,NA,""
2008,"Neguac",26,"Cancer irroratus","M",5,NA,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,1.4,""
2008,"Neguac",26,"Tautogolabrus adspersus","",50,0.9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,4.4,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,3.1,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,4.4,""
2008,"Neguac",26,"Tautogolabrus adspersus","",90,8.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",100,13.9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,4.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",80,8.3,""
2008,"Neguac",26,"Tautogolabrus adspersus","",90,9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",90,10.7,""
2008,"Neguac",26,"Tautogolabrus adspersus","",80,8.4,""
2008,"Neguac",26,"Tautogolabrus adspersus","",80,5.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",80,6.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,4.6,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,2,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,3.2,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,4.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,2.3,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,2.8,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,2.5,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,1.2,""
2008,"Neguac",26,"Tautogolabrus adspersus","",70,1.6,""
