"year","site","collector","species","sex","size","weight","comment"
2008,"Neguac",26,"Tautogolabrus adspersus","",60,1.9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",50,1,""
2008,"Neguac",26,"Cancer irroratus","F",11,NA,""
2008,"Neguac",26,"Pholis gunnellus","",240,8.3,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,2.9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",50,1.6,""
2008,"Neguac",26,"Tautogolabrus adspersus","",80,5.7,""
2008,"Neguac",26,"Tautogolabrus adspersus","",60,1.9,""
2008,"Neguac",26,"Tautogolabrus adspersus","",40,0.9,""
2008,"Neguac",26,"Pholis gunnellus","",110,4,""
2008,"Neguac",26,"Ulvaria subbifurcata","",100,6.5,""
2008,"Shediac",26,"Tautogolabrus adspersus","",100,11.9,"2x2 BB"
2008,"Shediac",26,"Tautogolabrus adspersus","",90,11.2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",90,10,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",80,5.8,""
2008,"Shediac",26,"Tautogolabrus adspersus","",100,11.7,""
2008,"Shediac",26,"Tautogolabrus adspersus","",80,7.7,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,4.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.9,""
2008,"Shediac",26,"Tautogolabrus adspersus","",80,7,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,3.8,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,3.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",90,7.4,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.6,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.8,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.4,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.4,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,3.9,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,3.2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,5,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.8,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,3.1,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,4.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,3.1,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.5,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.1,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,3.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",60,2.2,""
2008,"Shediac",26,"Tautogolabrus adspersus","",70,3.3,""
2008,"Shediac",26,"Tautogolabrus adspersus","",30,0.3,""
2008,"Shediac",26,"Pholis gunnellus","",120,4.4,""
2008,"Shediac",26,"Pholis gunnellus","",130,5.2,""
2008,"Shediac",17,"Tautogolabrus adspersus","",110,22.49,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,9.75,""
2008,"Shediac",17,"Tautogolabrus adspersus","",120,21.11,""
2008,"Shediac",17,"Tautogolabrus adspersus","",110,16.09,""
2008,"Shediac",17,"Tautogolabrus adspersus","",80,7.7,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,3.4,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,11.4,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,9.4,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,9,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,9.4,""
2008,"Shediac",17,"Tautogolabrus adspersus","",110,15.3,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,7.4,""
2008,"Shediac",17,"Tautogolabrus adspersus","",90,9.8,""
2008,"Shediac",17,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,2.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",70,5.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",70,4.3,""
2008,"Shediac",17,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,2.5,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,2.9,""
2008,"Shediac",17,"Dyspanopeus sayi","M",15,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",13,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",9,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",16,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",9,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",17,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",17,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",3,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",3,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",3,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",2,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",8,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",5,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",8,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",14,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",9,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",13,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",12,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",11,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","",5,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",17,"Tautogolabrus adspersus","",151,57.48,""
2008,"Shediac",17,"Tautogolabrus adspersus","",75,6.53,""
2008,"Shediac",17,"Tautogolabrus adspersus","",74,6.03,""
2008,"Shediac",17,"Tautogolabrus adspersus","",96,14.72,""
2008,"Shediac",17,"Tautogolabrus adspersus","",101,15.6,""
2008,"Shediac",17,"Tautogolabrus adspersus","",87,10.2,""
2008,"Shediac",17,"Tautogolabrus adspersus","",76,7.2,""
2008,"Shediac",17,"Tautogolabrus adspersus","",77,8.9,""
2008,"Shediac",17,"Tautogolabrus adspersus","",77,7.9,""
2008,"Shediac",17,"Tautogolabrus adspersus","",81,8.3,""
2008,"Shediac",17,"Tautogolabrus adspersus","",66,3.9,""
2008,"Shediac",17,"Tautogolabrus adspersus","",71,5.6,""
2008,"Shediac",17,"Tautogolabrus adspersus","",75,6.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",72,5.9,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,3.2,""
2008,"Shediac",17,"Ulvaria subbifurcata","",118,16.5,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,2.6,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,2,""
2008,"Shediac",17,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",17,"Tautogolabrus adspersus","",60,1.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,18.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",130,29.2,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,16,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,19.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,13.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,16.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,16.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,7.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,9.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,6.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,6.3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,3.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,6.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,7.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,6.5,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,14.5,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,13.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,10.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",110,21.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,11,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,10.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.2,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,9.5,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,3.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,5.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,7.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,8.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,3.8,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,3.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2.3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,6.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,9.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,6.1,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,2.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,10.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,4.4,""
2008,"Shediac",20,"Tautogolabrus adspersus","",60,1.6,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,2.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,5.3,""
2008,"Shediac",20,"Tautogolabrus adspersus","",80,7.9,""
2008,"Shediac",20,"Tautogolabrus adspersus","",70,3.2,""
2008,"Shediac",20,"Tautogolabrus adspersus","",90,8.7,""
2008,"Shediac",20,"Tautogolabrus adspersus","",100,11.8,""
2008,"Shediac",20,"Dyspanopeus sayi","F",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",15,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",16,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",13,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",7,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",8,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",7,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",6,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",5,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",6,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",14,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",14,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",16,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",15,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",13,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",8,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",7,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",7,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","M",5,NA,""
2008,"Shediac",20,"Dyspanopeus sayi","F",9,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",15,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",16,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",13,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",12,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",9,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",8,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",9,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",11,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",7,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","",5,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",19,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",18,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",20,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",17,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",14,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",15,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",14,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",11,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",10,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",7,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",7,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","M",16,NA,""
2008,"Shediac",26,"Dyspanopeus sayi","F",11,NA,"2x2Screen"
2008,"Shediac",26,"Dyspanopeus sayi","F",4,NA,"2x2Screen"
2008,"Shediac",17,"Dyspanopeus sayi","M",17,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",15,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",17,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",9,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","M",6,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",17,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",13,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",14,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",10,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",8,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",8,NA,""
2008,"Shediac",17,"Dyspanopeus sayi","F",8,NA,""
2008,"Neguac",23,"Cancer irroratus","M",33,NA,""
2008,"Neguac",23,"Cancer irroratus","M",21,NA,""
2008,"Neguac",23,"Cancer irroratus","M",19,NA,""
2008,"Neguac",23,"Cancer irroratus","M",22,NA,""
2008,"Neguac",23,"Cancer irroratus","M",15,NA,""
2008,"Neguac",23,"Cancer irroratus","M",15,NA,""
2008,"Neguac",23,"Cancer irroratus","M",16,NA,""
2008,"Neguac",23,"Cancer irroratus","M",11,NA,""
2008,"Neguac",23,"Cancer irroratus","M",15,NA,""
2008,"Neguac",23,"Cancer irroratus","M",13,NA,""
2008,"Neguac",23,"Cancer irroratus","M",12,NA,""
2008,"Neguac",23,"Cancer irroratus","F",13,NA,""
2008,"Neguac",23,"Cancer irroratus","M",14,NA,""
2008,"Neguac",23,"Cancer irroratus","M",14,NA,""
2008,"Neguac",23,"Cancer irroratus","M",15,NA,""
2008,"Neguac",23,"Cancer irroratus","M",11,NA,""
2008,"Neguac",23,"Cancer irroratus","M",12,NA,""
2008,"Neguac",23,"Cancer irroratus","M",11,NA,""
2008,"Neguac",23,"Cancer irroratus","M",13,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",11,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",12,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",10,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",8,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","M",9,NA,""
2008,"Neguac",23,"Cancer irroratus","",5,NA,""
2008,"Neguac",23,"Cancer irroratus","M",6,NA,""
2008,"Neguac",23,"Cancer irroratus","M",7,NA,""
2008,"Neguac",23,"Cancer irroratus","M",8,NA,""
2008,"Neguac",23,"Cancer irroratus","M",6,NA,""
2008,"Neguac",23,"Tautogolabrus adspersus","",140,41.42,""
2008,"Neguac",23,"Tautogolabrus adspersus","",120,23.54,""
2008,"Neguac",23,"Tautogolabrus adspersus","",110,20.14,""
2008,"Neguac",23,"Tautogolabrus adspersus","",110,19.48,""
2008,"Neguac",23,"Tautogolabrus adspersus","",100,12.87,""
2008,"Neguac",23,"Tautogolabrus adspersus","",100,11.9,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,9.12,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,10.61,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,10.78,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,10.48,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,10.24,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,11.34,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,8.33,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,7.35,""
2008,"Neguac",23,"Tautogolabrus adspersus","",90,9.64,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,8.58,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,6.83,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,7.07,""
2008,"Neguac",23,"Tautogolabrus adspersus","",80,6.04,""
2008,"Neguac",23,"Tautogolabrus adspersus","",70,5.18,""
2008,"Neguac",23,"Tautogolabrus adspersus","",70,4.79,""
2008,"Neguac",23,"Tautogolabrus adspersus","",70,4.82,""
2008,"Neguac",23,"Tautogolabrus adspersus","",70,5.06,""
2008,"Neguac",23,"Tautogolabrus adspersus","",70,5.36,""
2008,"Neguac",23,"Tautogolabrus adspersus","",50,2.23,""
2008,"Neguac",23,"Tautogolabrus adspersus","",60,2.56,""
2008,"Neguac",23,"Tautogolabrus adspersus","",60,2.04,""
2008,"Neguac",23,"Tautogolabrus adspersus","",60,2.15,""
2008,"Neguac",23,"Tautogolabrus adspersus","",60,1.76,""
2008,"Neguac",23,"Ulvaria subbifurcata","",100,7.37,""
2008,"Neguac",23,"Ulvaria subbifurcata","",100,10.39,""
2008,"Neguac",23,"Pholis gunnellus","",100,2.42,""
2008,"Neguac",23,"Tautogolabrus adspersus","",81,8.77,""
2008,"Neguac",23,"Tautogolabrus adspersus","",73,6.37,""
2008,"Neguac",23,"Tautogolabrus adspersus","",68,5.32,""
2008,"Neguac",23,"Tautogolabrus adspersus","",77,7.29,""
2008,"Neguac",23,"Tautogolabrus adspersus","",69,5.3,""
2008,"Neguac",23,"Tautogolabrus adspersus","",66,5.5,""
2008,"Neguac",23,"Tautogolabrus adspersus","",66,5.97,""
2008,"Neguac",23,"Tautogolabrus adspersus","",66,5.02,""
2008,"Neguac",23,"Tautogolabrus adspersus","",60,3.61,""
2008,"Neguac",23,"Tautogolabrus adspersus","",57,2.61,""
2008,"Neguac",23,"Tautogolabrus adspersus","",50,1.85,""
2008,"Neguac",23,"Tautogolabrus adspersus","",51,2.48,""
2008,"Neguac",23,"Tautogolabrus adspersus","",49,1.53,""
2008,"Neguac",23,"Tautogolabrus adspersus","",46,1.56,""
2008,"Neguac",23,"Tautogolabrus adspersus","",55,2.08,""
2008,"Shediac",27,"Dyspanopeus sayi","M",18,NA,""
2008,"Shediac",27,"Dyspanopeus sayi","M",12,NA,""
2008,"Shediac",27,"Dyspanopeus sayi","M",12,NA,""
