"collector","year","study.area","site","date.deployed","date.retrieved","condition.on.retrieval","collector.size","comment"
326,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
327,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
328,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
329,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
330,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
331,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
332,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
333,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
334,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","<1/2",0.56,""
335,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
336,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","<1/2",0.56,""
337,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24",">1/2",0.56,"Not used in our analysis because of sedimentation"
338,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
339,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
340,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","Lost",0.56,"not recovered"
341,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","<1/2",0.56,""
342,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
343,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
344,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
345,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
346,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
347,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
348,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","<1/2",0.56,""
349,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
350,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24",">1/2",0.56,"Not used in our analysis because of sedimentation"
351,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
352,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
353,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
354,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","OK",0.56,""
355,2019,"Southeast PEI","Murray River","2019-07-10","2019-09-24","<1/2",0.56,""
1201,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1203,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1204,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","Lost",0.56,"not recovered"
1205,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1206,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1207,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1208,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1209,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1210,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1211,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1212,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1213,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1214,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1215,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1216,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1217,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1218,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1219,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1220,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1221,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1222,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
1223,2019,"Northwest PEI","Skinner's Pond","2019-07-02","2019-10-10","OK",0.56,""
