"year","site","collector","condition","comment"
2009,"Murray Harbour",717,"OK","No gravel"
2009,"Murray Harbour",718,"OK",""
2009,"Murray Harbour",719,"OK",""
2009,"Murray Harbour",720,"OK",""
2009,"Murray Harbour",691,"OK",""
2009,"Murray Harbour",692,"OK",""
2009,"Murray Harbour",693,"OK",""
2009,"Murray Harbour",694,"Lost","No gravel, considered upsdide down"
2009,"Murray Harbour",695,"OK",""
2009,"Murray Harbour",696,"OK","No gravel"
2009,"Murray Harbour",697,"OK","No gravel"
2009,"Murray Harbour",698,"Lost","Considered upside down"
2009,"Murray Harbour",699,"OK",""
2009,"Murray Harbour",700,"OK",""
2009,"Murray Harbour",701,"OK",""
2009,"Murray Harbour",702,"Lost","No gravel; considered upside down"
2009,"Murray Harbour",703,"OK",""
2009,"Murray Harbour",704,"OK",""
2009,"Murray Harbour",705,"OK","No gravel"
2009,"Murray Harbour",706,"OK","No gravel"
2009,"Murray Harbour",707,"OK",""
2009,"Murray Harbour",708,"OK",""
2009,"Murray Harbour",709,"OK","No gravel"
2009,"Murray Harbour",710,"OK","No gravel"
2009,"Murray Harbour",711,"Lost","No gravel; clean rocks, clean trap, considered as upside down."
2009,"Murray Harbour",712,"OK","One runner attacked by worms"
2009,"Murray Harbour",713,"OK","No gravel"
2009,"Murray Harbour",714,"OK","No gravel"
2009,"Murray Harbour",715,"Lost","No gravel; clean, considered upside down."
2009,"Fortune",640,"OK",""
2009,"Fortune",639,"OK",""
2009,"Fortune",638,"OK",""
2009,"Fortune",637,"OK",""
2009,"Fortune",636,"OK",""
2009,"Fortune",635,"OK",""
2009,"Fortune",634,"OK",""
2009,"Fortune",633,"OK","no rock crab in this collector"
2009,"Fortune",632,"OK",""
2009,"Fortune",631,"OK",""
2009,"Fortune",645,"OK",""
2009,"Fortune",644,"OK",""
2009,"Fortune",643,"OK","no rock crab in this collector"
2009,"Fortune",642,"OK",""
2009,"Fortune",641,"OK","no rock crab in this collector"
2009,"Fortune",650,"OK","no rock crab in this collector"
2009,"Fortune",649,"OK",""
2009,"Fortune",648,"OK",""
2009,"Fortune",646,"OK","No gravel"
2009,"Fortune",655,"OK",""
2009,"Fortune",654,"OK",""
2009,"Fortune",653,"OK",""
2009,"Fortune",652,"OK",""
2009,"Fortune",651,"OK",""
2009,"Fortune",660,"OK","came up and dropped out of hauler back into the water and then picked up again."
2009,"Fortune",659,"OK",""
2009,"Fortune",658,"OK","No gravel"
2009,"Fortune",657,"OK","No gravel,"
2009,"Fortune",656,"OK",""
2009,"Arisaig",193,"OK","empty"
2009,"Arisaig",192,"OK",""
2009,"Arisaig",785,"OK",""
2009,"Arisaig",182,"OK",""
2009,"Arisaig",476,"OK",""
2009,"Arisaig",194,"OK",""
2009,"Arisaig",793,"OK","had 3 crabs but were discarded by mistake"
2009,"Arisaig",481,"OK",""
2009,"Arisaig",787,"OK",""
2009,"Arisaig",196,"OK",""
2009,"Arisaig",495,"OK",""
2009,"Arisaig",195,"OK",""
2009,"Arisaig",791,"OK",""
2009,"Arisaig",463,"OK",""
2009,"Arisaig",800,"OK",""
2009,"Arisaig",798,"OK",""
2009,"Arisaig",781,"OK",""
2009,"Arisaig",486,"OK",""
2009,"Arisaig",783,"OK",""
2009,"Arisaig",786,"OK",""
2009,"Arisaig",782,"OK",""
2009,"Arisaig",470,"OK",""
2009,"Arisaig",479,"OK",""
2009,"Arisaig",474,"OK",""
2009,"Arisaig",465,"OK",""
2010,"Fortune",1795,"OK",""
2010,"Fortune",1789,"OK",""
2010,"Fortune",1794,"OK","no gravel"
2010,"Fortune",1784,"OK","no lining"
2010,"Fortune",1790,"OK",""
2010,"Fortune",1798,"OK",""
2010,"Fortune",1797,"OK","10% du gravier dans le collecteur"
2010,"Fortune",1796,"OK",""
2010,"Fortune",1785,"OK",""
2010,"Fortune",1792,"OK",""
2010,"Fortune",1787,"OK",""
2010,"Fortune",1779,"OK",""
2010,"Fortune",1782,"OK",""
2010,"Fortune",1793,"OK",""
2010,"Fortune",1800,"OK",""
2010,"Fortune",1799,"OK",""
2010,"Fortune",1788,"OK",""
2010,"Fortune",1786,"OK",""
2010,"Fortune",1802,"OK",""
2010,"Fortune",1778,"OK",""
2010,"Fortune",1783,"OK","2 fois plus de gravier"
2010,"Fortune",1780,"OK","5% de gravier"
2010,"Fortune",1805,"OK",""
2010,"Fortune",1804,"OK","Pas de gravier"
2010,"Fortune",1803,"OK","sampled on sept 22, ramassé au grapin - 5% de gravier"
2010,"Fortune",1777,"OK","sampled on sept 22, ramassé au grapin"
2010,"Fortune",1706,"OK","sampled on oct 15"
2010,"Fortune",1801,"OK","retrieved on oct 14, sampled on oct 15"
2010,"Fortune",1791,"OK","retrieved on oct 14, sampled on oct 15"
2010,"Covehead",1738,"OK",""
2010,"Covehead",1745,"OK","5% of gravel"
2010,"Covehead",1744,"OK",""
2010,"Covehead",1743,"OK",""
2010,"Covehead",1742,"OK","5% of gravel"
2010,"Covehead",1733,"OK","5% of gravel"
2010,"Covehead",1718,"OK",""
2010,"Covehead",1729,"OK",""
2010,"Covehead",1728,"OK",""
2010,"Covehead",1727,"OK",""
2010,"Covehead",1736,"OK","5% of gravel"
2010,"Covehead",1721,"OK",""
2010,"Covehead",1726,"OK",""
2010,"Covehead",1725,"OK",""
2010,"Covehead",1724,"OK",""
2010,"Covehead",1720,"OK",""
2010,"Covehead",1723,"OK",""
2010,"Covehead",1719,"OK",""
2010,"Covehead",1722,"OK","no gravel"
2010,"Covehead",1732,"OK",""
2010,"Covehead",1735,"OK",""
2010,"Covehead",1739,"OK","5% of gravel"
2010,"Covehead",1731,"OK","no gravel"
2010,"Covehead",1730,"OK",""
2010,"Covehead",1734,"OK","no gravel"
2010,"Covehead",1737,"OK",""
2010,"Covehead",1746,"OK",""
2010,"Alberton",1836,"OK",""
2010,"Alberton",1837,"OK",""
2010,"Alberton",1833,"OK",""
2010,"Alberton",1829,"OK",""
2010,"Alberton",1840,"OK",""
2010,"Alberton",1822,"OK",""
2010,"Alberton",1824,"OK",""
2010,"Alberton",1839,">1/2",""
2010,"Alberton",1838,"OK",""
2010,"Alberton",1835,"OK",""
2010,"Alberton",1834,"OK",""
2010,"Alberton",1821,"OK",""
2010,"Alberton",1831,"OK",""
2010,"Alberton",1823,"OK",""
2010,"Alberton",1818,"OK",""
2010,"Alberton",1825,"OK",""
2010,"Alberton",1827,"OK",""
2010,"Alberton",1828,"OK",""
2010,"Alberton",1826,"OK",""
2010,"Alberton",1820,"OK",""
2010,"Alberton",1832,"OK",""
2010,"Alberton",1819,"OK","no liner in collector"
2010,"Alberton",1815,"OK",""
2010,"Alberton",1814,"OK",""
2010,"Alberton",1817,"OK",""
2010,"Alberton",1830,"OK",""
2010,"Alberton",1813,">1/2","plein de sable"
2010,"Alberton",1812,"<1/2",""
2010,"Alberton",1816,"OK",""
2010,"Alberton",1811,"OK",""
2010,"Murray Harbour",1760,"OK",""
2010,"Murray Harbour",1759,"OK",""
2010,"Murray Harbour",1747,"OK",""
2010,"Murray Harbour",1761,"OK",""
2010,"Murray Harbour",1764,"OK",""
2010,"Murray Harbour",1758,"OK",""
2010,"Murray Harbour",1763,"OK",""
2010,"Murray Harbour",1750,"OK",""
2010,"Murray Harbour",1753,"OK",""
2010,"Murray Harbour",1749,"OK",""
2010,"Murray Harbour",1754,"OK","5% of gravel"
2010,"Murray Harbour",1769,"OK","no gravel"
2010,"Murray Harbour",1765,"OK",""
2010,"Murray Harbour",1766,"OK","5% of gravel"
2010,"Murray Harbour",1775,"OK",""
2010,"Murray Harbour",1773,"OK",""
2010,"Murray Harbour",1770,"OK",""
2010,"Murray Harbour",1755,"OK",""
2010,"Murray Harbour",1772,"OK",""
2010,"Murray Harbour",1768,"OK",""
2010,"Murray Harbour",1757,"OK",""
2010,"Murray Harbour",1748,"OK","5% of gravel"
2010,"Murray Harbour",1776,"OK",""
2010,"Murray Harbour",1756,"OK",""
2010,"Murray Harbour",1751,"OK",""
2010,"Murray Harbour",1774,"OK",""
2010,"Murray Harbour",1771,"OK",""
2010,"Murray Harbour",1767,"OK",""
2010,"Murray Harbour",1762,"OK",""
