Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	1706	06-JUL-10 3:10:41PM	User Waypoint	N46 18.050 W62 20.220	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1717	05-JUL-10 9:46:37AM	User Waypoint	N46 26.420 W63 08.970	3 m				Symbol & Name	Unknown	Water Hydrant		Covehead					
Waypoint	1718	05-JUL-10 9:47:22AM	User Waypoint	N46 26.420 W63 08.981	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1719	05-JUL-10 9:47:55AM	User Waypoint	N46 26.417 W63 08.987	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1720	05-JUL-10 9:52:28AM	User Waypoint	N46 26.417 W63 09.019	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1721	05-JUL-10 9:55:22AM	User Waypoint	N46 26.418 W63 09.015	3 m				Symbol & Name	Unknown	Water Hydrant		Covehead					
Waypoint	1722	05-JUL-10 9:59:53AM	User Waypoint	N46 26.406 W63 08.999	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1723	05-JUL-10 10:00:28AM	User Waypoint	N46 26.406 W63 09.010	6 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1724	05-JUL-10 10:01:07AM	User Waypoint	N46 26.405 W63 09.016	7 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1725	05-JUL-10 10:01:54AM	User Waypoint	N46 26.414 W63 09.024	6 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1726	05-JUL-10 10:02:35AM	User Waypoint	N46 26.417 W63 09.049	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1727	05-JUL-10 10:07:21AM	User Waypoint	N46 26.422 W63 08.976	2 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1728	05-JUL-10 10:07:57AM	User Waypoint	N46 26.430 W63 08.992	6 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1729	05-JUL-10 10:08:28AM	User Waypoint	N46 26.435 W63 09.012	3 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1730	05-JUL-10 10:09:02AM	User Waypoint	N46 26.438 W63 09.024	3 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1731	05-JUL-10 10:09:37AM	User Waypoint	N46 26.447 W63 09.046	-0 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1732	05-JUL-10 10:13:27AM	User Waypoint	N46 26.434 W63 08.971	3 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1733	05-JUL-10 10:14:01AM	User Waypoint	N46 26.441 W63 08.988	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1734	05-JUL-10 10:14:39AM	User Waypoint	N46 26.447 W63 09.006	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1735	05-JUL-10 10:15:15AM	User Waypoint	N46 26.451 W63 09.023	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1736	05-JUL-10 10:16:02AM	User Waypoint	N46 26.453 W63 09.039	2 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1737	05-JUL-10 10:19:33AM	User Waypoint	N46 26.449 W63 08.979	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1738	05-JUL-10 10:20:13AM	User Waypoint	N46 26.450 W63 08.986	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1739	05-JUL-10 10:20:48AM	User Waypoint	N46 26.454 W63 08.997	8 m				Symbol & Name	Unknown	City (Small)		Covehead					
