Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories
Waypoint	1740	05-JUL-10 10:21:29AM	User Waypoint	N46 26.469 W63 09.027	8 m				Symbol & Name	Unknown	Water Hydrant		Covehead					
Waypoint	1741	05-JUL-10 10:22:08AM	User Waypoint	N46 26.483 W63 09.040	9 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1742	05-JUL-10 10:25:48AM	User Waypoint	N46 26.452 W63 08.967	2 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1743	05-JUL-10 10:26:24AM	User Waypoint	N46 26.457 W63 08.985	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1744	05-JUL-10 10:26:59AM	User Waypoint	N46 26.462 W63 08.992	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1745	05-JUL-10 10:27:35AM	User Waypoint	N46 26.464 W63 08.997	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1746	05-JUL-10 10:28:11AM	User Waypoint	N46 26.472 W63 09.015	3 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	1747	06-JUL-10 9:41:38AM	User Waypoint	N46 03.846 W62 27.014	1 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1748	06-JUL-10 9:42:54AM	User Waypoint	N46 03.841 W62 27.001	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1749	06-JUL-10 9:43:51AM	User Waypoint	N46 03.844 W62 27.012	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1750	06-JUL-10 9:45:22AM	User Waypoint	N46 03.835 W62 27.010	3 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1751	06-JUL-10 9:47:43AM	User Waypoint	N46 03.888 W62 27.014	3 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1752	06-JUL-10 9:56:08AM	User Waypoint	N46 03.846 W62 27.026	3 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1753	06-JUL-10 9:55:16AM	User Waypoint	N46 03.864 W62 27.025	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1754	06-JUL-10 9:54:26AM	User Waypoint	N46 03.873 W62 27.025	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1755	06-JUL-10 9:53:37AM	User Waypoint	N46 03.885 W62 27.030	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1756	06-JUL-10 9:52:36AM	User Waypoint	N46 03.898 W62 27.036	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1757	06-JUL-10 10:05:29AM	User Waypoint	N46 03.842 W62 27.051	7 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1758	06-JUL-10 10:04:23AM	User Waypoint	N46 03.855 W62 27.046	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1759	06-JUL-10 10:06:25AM	User Waypoint	N46 03.869 W62 27.045	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1760	06-JUL-10 10:03:24AM	User Waypoint	N46 03.869 W62 27.032	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1761	06-JUL-10 10:00:31AM	User Waypoint	N46 03.888 W62 27.033	2 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1762	06-JUL-10 10:13:49AM	User Waypoint	N46 03.833 W62 27.056	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1763	06-JUL-10 10:12:58AM	User Waypoint	N46 03.856 W62 27.052	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1764	06-JUL-10 10:12:00AM	User Waypoint	N46 03.862 W62 27.052	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1765	06-JUL-10 10:11:08AM	User Waypoint	N46 03.869 W62 27.056	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1766	06-JUL-10 10:10:17AM	User Waypoint	N46 03.879 W62 27.047	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1767	06-JUL-10 10:20:55AM	User Waypoint	N46 03.842 W62 27.072	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1768	06-JUL-10 10:20:00AM	User Waypoint	N46 03.845 W62 27.075	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1769	06-JUL-10 10:19:05AM	User Waypoint	N46 03.858 W62 27.077	5 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1770	06-JUL-10 10:18:18AM	User Waypoint	N46 03.868 W62 27.073	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1771	06-JUL-10 10:17:05AM	User Waypoint	N46 03.869 W62 27.061	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1772	06-JUL-10 10:32:50AM	User Waypoint	N46 03.854 W62 27.100	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1773	06-JUL-10 10:31:58AM	User Waypoint	N46 03.864 W62 27.100	6 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1774	06-JUL-10 10:30:57AM	User Waypoint	N46 03.869 W62 27.094	1 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1775	06-JUL-10 10:30:04AM	User Waypoint	N46 03.883 W62 27.092	1 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1776	06-JUL-10 10:33:41AM	User Waypoint	N46 03.843 W62 27.095	4 m				Symbol & Name	Unknown	City (Small)		Murray Harbour					
Waypoint	1777	06-JUL-10 3:09:14PM	User Waypoint	N46 18.063 W62 20.232	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1778	06-JUL-10 3:08:00PM	User Waypoint	N46 18.071 W62 20.246	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1779	06-JUL-10 3:06:57PM	User Waypoint	N46 18.068 W62 20.255	4 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1780	06-JUL-10 3:06:25PM	User Waypoint	N46 18.074 W62 20.271	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1781	06-JUL-10 3:21:29PM	User Waypoint	N46 18.059 W62 20.226	-2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1782	06-JUL-10 3:19:57PM	User Waypoint	N46 18.070 W62 20.230	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1783	06-JUL-10 3:18:36PM	User Waypoint	N46 18.074 W62 20.234	-1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1784	06-JUL-10 3:17:27PM	User Waypoint	N46 18.077 W62 20.243	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1785	06-JUL-10 3:16:35PM	User Waypoint	N46 18.086 W62 20.251	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1786	06-JUL-10 3:29:05PM	User Waypoint	N46 18.066 W62 20.213	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1787	06-JUL-10 3:27:46PM	User Waypoint	N46 18.074 W62 20.226	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1788	06-JUL-10 3:26:31PM	User Waypoint	N46 18.079 W62 20.228	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1789	06-JUL-10 3:25:26PM	User Waypoint	N46 18.083 W62 20.233	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1790	06-JUL-10 3:24:52PM	User Waypoint	N46 18.087 W62 20.243	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1791	06-JUL-10 3:39:21PM	User Waypoint	N46 18.072 W62 20.197	5 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1792	06-JUL-10 3:38:21PM	User Waypoint	N46 18.081 W62 20.199	4 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1793	06-JUL-10 3:37:18PM	User Waypoint	N46 18.090 W62 20.211	5 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1794	06-JUL-10 3:33:32PM	User Waypoint	N46 18.094 W62 20.222	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1795	06-JUL-10 3:34:45PM	User Waypoint	N46 18.104 W62 20.238	4 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1796	06-JUL-10 3:47:22PM	User Waypoint	N46 18.093 W62 20.196	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1797	06-JUL-10 3:46:34PM	User Waypoint	N46 18.094 W62 20.198	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1798	06-JUL-10 3:45:31PM	User Waypoint	N46 18.095 W62 20.207	-2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1799	06-JUL-10 3:44:41PM	User Waypoint	N46 18.095 W62 20.211	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1800	06-JUL-10 3:43:37PM	User Waypoint	N46 18.100 W62 20.223	3 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1801	06-JUL-10 3:56:51PM	User Waypoint	N46 18.043 W62 20.223	6 m				Symbol & Name	Unknown	Water Hydrant		Fortune					
Waypoint	1802	06-JUL-10 3:55:38PM	User Waypoint	N46 18.052 W62 20.235	7 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1803	06-JUL-10 3:54:38PM	User Waypoint	N46 18.058 W62 20.238	5 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1804	06-JUL-10 3:53:27PM	User Waypoint	N46 18.055 W62 20.261	5 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1805	06-JUL-10 3:52:18PM	User Waypoint	N46 18.072 W62 20.266	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1806	06-JUL-10 4:06:32PM	User Waypoint	N46 17.911 W62 18.763	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1807	06-JUL-10 4:06:41PM	User Waypoint	N46 17.920 W62 18.758	2 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1808	06-JUL-10 4:06:50PM	User Waypoint	N46 17.929 W62 18.754	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1809	06-JUL-10 4:06:59PM	User Waypoint	N46 17.940 W62 18.749	0 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1810	06-JUL-10 4:07:08PM	User Waypoint	N46 17.952 W62 18.744	1 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	1811	07-JUL-10 10:32:28AM	User Waypoint	N46 44.235 W63 58.076	10 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1812	18.0 ft - 36.1 ft	User Waypoint	N46 44.233 W63 58.092					Symbol & Name	Unknown	City (Small)		Alberton			10/26/2010 11:11:55 AM 		
Waypoint	1813	07-JUL-10 10:33:29AM	User Waypoint	N46 44.245 W63 58.097	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1814	07-JUL-10 10:35:06AM	User Waypoint	N46 44.257 W63 58.107	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1815	07-JUL-10 10:36:14AM	User Waypoint	N46 44.263 W63 58.119	6 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1816	07-JUL-10 10:39:13AM	User Waypoint	N46 44.245 W63 58.059	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1817	07-JUL-10 10:40:19AM	User Waypoint	N46 44.251 W63 58.084	7 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1818	07-JUL-10 10:41:39AM	User Waypoint	N46 44.252 W63 58.089	7 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1819	07-JUL-10 10:43:26AM	User Waypoint	N46 44.261 W63 58.098	3 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1820	07-JUL-10 10:44:58AM	User Waypoint	N46 44.267 W63 58.105	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1821	07-JUL-10 10:48:21AM	User Waypoint	N46 44.242 W63 58.074	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1822	07-JUL-10 10:49:29AM	User Waypoint	N46 44.255 W63 58.087	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1823	07-JUL-10 10:50:43AM	User Waypoint	N46 44.271 W63 58.089	7 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1824	07-JUL-10 10:51:25AM	User Waypoint	N46 44.280 W63 58.092	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1825	07-JUL-10 10:52:23AM	User Waypoint	N46 44.285 W63 58.096	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1826	07-JUL-10 10:55:21AM	User Waypoint	N46 44.272 W63 58.063	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1827	07-JUL-10 10:56:52AM	User Waypoint	N46 44.277 W63 58.064	10 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1828	07-JUL-10 10:58:07AM	User Waypoint	N46 44.282 W63 58.073	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1829	07-JUL-10 10:59:57AM	User Waypoint	N46 44.289 W63 58.078	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1830	07-JUL-10 11:01:21AM	User Waypoint	N46 44.297 W63 58.086	8 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1831	07-JUL-10 11:04:39AM	User Waypoint	N46 44.273 W63 58.042	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1832	07-JUL-10 11:06:11AM	User Waypoint	N46 44.296 W63 58.054	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1833	07-JUL-10 11:07:39AM	User Waypoint	N46 44.303 W63 58.064	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1834	07-JUL-10 11:09:00AM	User Waypoint	N46 44.297 W63 58.077	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1835	07-JUL-10 11:10:18AM	User Waypoint	N46 44.296 W63 58.083	9 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1836	07-JUL-10 11:14:02AM	User Waypoint	N46 44.292 W63 58.038	4 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1837	07-JUL-10 11:15:53AM	User Waypoint	N46 44.298 W63 58.047	7 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1838	07-JUL-10 11:17:25AM	User Waypoint	N46 44.304 W63 58.046	6 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1839	07-JUL-10 11:18:47AM	User Waypoint	N46 44.308 W63 58.069	6 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1840	07-JUL-10 11:19:52AM	User Waypoint	N46 44.326 W63 58.090	6 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	1841	13-OCT-10 10:03:22AM	User Waypoint	N46 05.879 W63 13.659	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1842	13-OCT-10 10:05:02AM	User Waypoint	N46 05.878 W63 13.673	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1843	13-OCT-10 10:06:27AM	User Waypoint	N46 05.886 W63 13.678	7 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1844	13-OCT-10 10:08:06AM	User Waypoint	N46 05.888 W63 13.683	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1845	13-OCT-10 10:09:25AM	User Waypoint	N46 05.892 W63 13.702	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1846	13-OCT-10 9:55:07AM	User Waypoint	N46 05.880 W63 13.649	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1847	13-OCT-10 9:56:40AM	User Waypoint	N46 05.901 W63 13.642	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1848	13-OCT-10 9:58:18AM	User Waypoint	N46 05.887 W63 13.663	6 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1849	13-OCT-10 9:59:49AM	User Waypoint	N46 05.894 W63 13.680	6 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1850	13-OCT-10 10:01:23AM	User Waypoint	N46 05.902 W63 13.667	6 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1851	13-OCT-10 9:47:14AM	User Waypoint	N46 05.896 W63 13.640	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1852	13-OCT-10 9:48:44AM	User Waypoint	N46 05.902 W63 13.643	3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1853	13-OCT-10 9:50:32AM	User Waypoint	N46 05.898 W63 13.667	6 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1854	13-OCT-10 9:51:50AM	User Waypoint	N46 05.906 W63 13.681	6 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1855	13-OCT-10 9:53:07AM	User Waypoint	N46 05.920 W63 13.693	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1856	13-OCT-10 9:39:04AM	User Waypoint	N46 05.907 W63 13.623	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1857	13-OCT-10 9:40:34AM	User Waypoint	N46 05.916 W63 13.630	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1858	13-OCT-10 9:42:05AM	User Waypoint	N46 05.921 W63 13.651	7 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1859	13-OCT-10 9:43:34AM	User Waypoint	N46 05.924 W63 13.665	9 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1860	13-OCT-10 9:45:17AM	User Waypoint	N46 05.928 W63 13.677	3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1861	13-OCT-10 9:31:03AM	User Waypoint	N46 05.918 W63 13.616	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1862	13-OCT-10 9:32:43AM	User Waypoint	N46 05.928 W63 13.616	2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1863	13-OCT-10 9:34:28AM	User Waypoint	N46 05.928 W63 13.643	2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1864	13-OCT-10 9:35:58AM	User Waypoint	N46 05.938 W63 13.658	2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1865	13-OCT-10 9:37:18AM	User Waypoint	N46 05.941 W63 13.671	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1866	13-OCT-10 9:22:46AM	User Waypoint	N46 05.922 W63 13.604	1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1867	13-OCT-10 9:24:56AM	User Waypoint	N46 05.938 W63 13.624	2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1868	13-OCT-10 9:26:14AM	User Waypoint	N46 05.939 W63 13.641	1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1869	13-OCT-10 9:27:40AM	User Waypoint	N46 05.950 W63 13.651	4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1870	13-OCT-10 9:29:02AM	User Waypoint	N46 05.951 W63 13.675	5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	1871	14-JUL-10 11:15:10AM	User Waypoint	N46 56.511 W64 11.258	2 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1872	14-JUL-10 11:13:50AM	User Waypoint	N46 56.528 W64 11.242	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1873	14-JUL-10 11:11:57AM	User Waypoint	N46 56.533 W64 11.227	7 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1874	14-JUL-10 11:24:32AM	User Waypoint	N46 56.499 W64 11.254	1 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1875	14-JUL-10 11:10:09AM	User Waypoint	N46 56.538 W64 11.215	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1876	14-JUL-10 11:08:10AM	User Waypoint	N46 56.541 W64 11.208	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1877	14-JUL-10 11:23:27AM	User Waypoint	N46 56.513 W64 11.232	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1878	14-JUL-10 11:21:12AM	User Waypoint	N46 56.516 W64 11.227	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1879	14-JUL-10 11:20:04AM	User Waypoint	N46 56.522 W64 11.218	6 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1880	14-JUL-10 11:18:41AM	User Waypoint	N46 56.527 W64 11.211	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1881	14-JUL-10 11:32:22AM	User Waypoint	N46 56.489 W64 11.245	1 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1882	14-JUL-10 11:31:13AM	User Waypoint	N46 56.495 W64 11.235	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1883	14-JUL-10 11:30:01AM	User Waypoint	N46 56.499 W64 11.220	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1884	14-JUL-10 11:29:23AM	User Waypoint	N46 56.504 W64 11.209	5 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1885	14-JUL-10 11:28:37AM	User Waypoint	N46 56.512 W64 11.196	2 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1886	14-JUL-10 11:40:31AM	User Waypoint	N46 56.476 W64 11.236	5 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1887	14-JUL-10 11:39:54AM	User Waypoint	N46 56.479 W64 11.231	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1888	14-JUL-10 11:38:40AM	User Waypoint	N46 56.483 W64 11.227	5 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1889	14-JUL-10 11:37:21AM	User Waypoint	N46 56.494 W64 11.214	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1890	14-JUL-10 11:36:39AM	User Waypoint	N46 56.499 W64 11.201	2 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1891	14-JUL-10 11:48:05AM	User Waypoint	N46 56.512 W64 11.255	5 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1892	14-JUL-10 11:47:31AM	User Waypoint	N46 56.518 W64 11.251	4 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1893	14-JUL-10 11:47:07AM	User Waypoint	N46 56.527 W64 11.242	3 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
Waypoint	1894	14-JUL-10 11:46:20AM	User Waypoint	N46 56.536 W64 11.230	5 m				Symbol & Name	Unknown	City (Small)		Skinners Pond					
