Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	0553	05-JUL-11 12:07:04PM	User Waypoint	N46 18.030 W62 20.280	9 m				Symbol & Name	Unknown	City (Small)		Fortune					
Waypoint	0554	05-JUL-11 4:19:13PM	User Waypoint	N46 26.536 W63 09.424	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	0555	05-JUL-11 4:20:02PM	User Waypoint	N46 26.537 W63 09.427	5 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	0556	05-JUL-11 4:07:18PM	User Waypoint	N46 26.542 W63 09.378	6 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	0557	05-JUL-11 4:38:46PM	User Waypoint	N46 26.504 W63 09.436	4 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	0558	05-JUL-11 4:17:46PM	User Waypoint	N46 26.534 W63 09.413	3 m				Symbol & Name	Unknown	City (Small)		Covehead					
Waypoint	0559	06-JUL-11 9:35:01AM	User Waypoint	N46 44.243 W63 58.131	2 m				Symbol & Name	Unknown	City (Small)		Alberton			7/7/2011 3:09:22 PM 		
Waypoint	0560	06-JUL-11 9:37:12AM	User Waypoint	N46 44.246 W63 58.140	1 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0561	06-JUL-11 9:35:53AM	User Waypoint	N46 44.254 W63 58.131	1 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0562	06-JUL-11 9:16:03AM	User Waypoint	N46 44.239 W63 58.198	1 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0563	06-JUL-11 9:14:57AM	User Waypoint	N46 44.235 W63 58.194	4 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0564	06-JUL-11 9:10:08AM	User Waypoint	N46 44.237 W63 58.206	3 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0565	06-JUL-11 9:08:48AM	User Waypoint	N46 44.229 W63 58.204	3 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0566	06-JUL-11 9:19:46AM	User Waypoint	N46 44.258 W63 58.182	-1 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0567	06-JUL-11 9:18:14AM	User Waypoint	N46 44.266 W63 58.207	-0 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0568	06-JUL-11 9:17:07AM	User Waypoint	N46 44.252 W63 58.201	-3 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0569	06-JUL-11 9:27:52AM	User Waypoint	N46 44.235 W63 58.152	2 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0570	06-JUL-11 9:26:32AM	User Waypoint	N46 44.236 W63 58.160	2 m				Symbol & Name	Unknown	City (Small)		Alberton					
Waypoint	0571	06-JUL-11 9:22:54AM	User Waypoint	N46 44.258 W63 58.174	6 m				Symbol & Name	Unknown	City (Small)		Alberton					
