Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	601	02-JUL-09 11:08	User Waypoint	N46 26.558 W63 09.302	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	602	02-JUL-09 11:08	User Waypoint	N46 26.557 W63 09.305	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	603	02-JUL-09 11:08	User Waypoint	N46 26.557 W63 09.307	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	604	02-JUL-09 11:07	User Waypoint	N46 26.556 W63 09.308	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	605	02-JUL-09 11:07	User Waypoint	N46 26.555 W63 09.312	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	606	02-JUL-09 11:22	User Waypoint	N46 26.557 W63 09.317	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	607	02-JUL-09 11:22	User Waypoint	N46 26.557 W63 09.329	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	608	02-JUL-09 11:22	User Waypoint	N46 26.558 W63 09.334	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	609	02-JUL-09 11:22	User Waypoint	N46 26.558 W63 09.339	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	611	02-JUL-09 11:34	User Waypoint	N46 26.559 W63 09.318	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	612	02-JUL-09 11:34	User Waypoint	N46 26.560 W63 09.323	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	613	02-JUL-09 11:34	User Waypoint	N46 26.559 W63 09.327	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	614	02-JUL-09 11:34	User Waypoint	N46 26.559 W63 09.333	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	615	02-JUL-09 11:34	User Waypoint	N46 26.560 W63 09.340	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	616	02-JUL-09 11:40	User Waypoint	N46 26.562 W63 09.313	2 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	617	02-JUL-09 11:40	User Waypoint	N46 26.561 W63 09.316	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	618	02-JUL-09 11:40	User Waypoint	N46 26.560 W63 09.319	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
Waypoint	619	02-JUL-09 11:40	User Waypoint	N46 26.559 W63 09.321	1 m				Symbol & Name	Unknown	Flag		Covehead			10/7/2009 11:47:08 AM 		
