Recorder,Serial numb,Site (text),Site Depth(m),Surface-Bottom,Log Depth(m),Latitude,Longitude,Year,Month,Day,Date,Time,Temperature
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,46.10308,63.22652,2014,7,15,2014-07-15,0:00:00,16.53
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,2:00:00,15.41
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,4:00:00,15.9
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,6:00:00,16.15
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,8:00:00,16.19
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,10:00:00,15.77
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,12:00:00,15.56
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,14:00:00,14.95
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,16:00:00,15.19
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,18:00:00,15.85
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,20:00:00,15.68
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,15,2014-07-15,22:00:00,15.93
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,0:00:00,16.39
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,2:00:00,16.27
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,4:00:00,17.92
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,6:00:00,18.37
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,8:00:00,17.81
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,10:00:00,17.51
Minilog-II-T,350546,"Nine Mile Creek,PEI",8,B,8,,,2014,7,16,2014-07-16,12:00:00,17.19
