Grid	Lat/Lon hddd°mm.mmm'
Datum	WGS 84

Header	Name	Description	Type	Position	Altitude	Depth	Proximity	Temperature	Display Mode	Color	Symbol	Facility	City	State	Country	Date Modified	Link	Categories

Waypoint	0121	10-JUL-12 1:19:22PM	User Waypoint	N46 06.152 W63 13.572	2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0122	10-JUL-12 1:20:45PM	User Waypoint	N46 06.175 W63 13.586	-0 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0123	10-JUL-12 1:21:39PM	User Waypoint	N46 06.185 W63 13.591	1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0124	10-JUL-12 1:22:40PM	User Waypoint	N46 06.199 W63 13.602	-2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0125	10-JUL-12 1:23:25PM	User Waypoint	N46 06.211 W63 13.614	-0 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0126	10-JUL-12 1:31:04PM	User Waypoint	N46 06.164 W63 13.596	1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0127	10-JUL-12 1:31:41PM	User Waypoint	N46 06.181 W63 13.617	0 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0128	10-JUL-12 1:32:23PM	User Waypoint	N46 06.196 W63 13.632	-3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0129	10-JUL-12 1:32:57PM	User Waypoint	N46 06.208 W63 13.642	-3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0130	10-JUL-12 1:33:29PM	User Waypoint	N46 06.217 W63 13.651	-3 m				Symbol & Name	Unknown	Water Hydrant		Nine Mile Creek					
Waypoint	0131	10-JUL-12 1:36:30PM	User Waypoint	N46 06.161 W63 13.617	-68 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek			7/11/2012 2:46:44 PM 		
Waypoint	0132	10-JUL-12 1:37:01PM	User Waypoint	N46 06.170 W63 13.634	-1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0133	10-JUL-12 1:37:34PM	User Waypoint	N46 06.180 W63 13.648	-0 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0134	10-JUL-12 1:38:17PM	User Waypoint	N46 06.191 W63 13.661	-1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0135	10-JUL-12 1:38:52PM	User Waypoint	N46 06.208 W63 13.680	-4 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0136	10-JUL-12 1:42:20PM	User Waypoint	N46 06.156 W63 13.638	-197 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0137	10-JUL-12 1:42:53PM	User Waypoint	N46 06.169 W63 13.656	-5 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0138	10-JUL-12 1:43:27PM	User Waypoint	N46 06.183 W63 13.672	-3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0139	10-JUL-12 1:44:04PM	User Waypoint	N46 06.203 W63 13.697	-2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0140	10-JUL-12 1:44:41PM	User Waypoint	N46 06.220 W63 13.712	-3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0141	10-JUL-12 1:49:38PM	User Waypoint	N46 06.149 W63 13.655	1 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0142	10-JUL-12 1:50:22PM	User Waypoint	N46 06.167 W63 13.674	-2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0143	10-JUL-12 1:50:59PM	User Waypoint	N46 06.176 W63 13.693	-2 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
Waypoint	0144	10-JUL-12 1:51:38PM	User Waypoint	N46 06.186 W63 13.702	-3 m				Symbol & Name	Unknown	City (Small)		Nine Mile Creek					
