"Site_id","FK_Project_Code","Site_Name","C_Enter_Lat","C_Enter_lon","Comments","S_Day","S_Month","S_Year","S_Date","R_Day","R_Month","R_Year","R_Date"
76,"coll2010","Skinner's Pond",46.94,-64.18,"-Temp probe on 1883
-according to field notes all collectors came up well
-Big samples : 1893, 1872, 1884, 1900",14.00,7.00,2010.00,7/14/2010 0:00:00,29.00,9.00,2010.00,9/29/2010 0:00:00
77,"coll2010","Arisaig",,,"-Big samples : 2035, 2056, 2053, 2063",2.00,7.00,2010.00,7/2/2010 0:00:00,28.00,9.00,2010.00,9/28/2010 0:00:00
173,"coll2011","Arisaig",,,"One collector was not recovered.  29 collectors deployed.",5.00,7.00,2011.00,7/5/2011 0:00:00,17.00,10.00,2011.00,10/17/2011 0:00:00
174,"coll2011","Skinner's Pond",46.94,-64.18,"Deployed 29 collectors on July 22, 2011 in 22-25 feet of water.  Temperature recorder on #1871.  Picked up 29 collectors Oct 12, 3 were tangled (1896, 1885, 1890), 1890 was lost. According to field notes all collectors came up well.",22.00,7.00,2011.00,7/22/2011 0:00:00,12.00,10.00,2011.00,10/12/2011 0:00:00
175,"coll2011","Nine Mile Creek",46.10,-63.22,"Deployed July 13 in 27-30 feet. Temperature recorder on #1869.  Picked up 27 collectors Oct 11. 3 not recovered (1851, 0590, 1848).  According to field notes all collectors came up well.",13.00,7.00,2011.00,7/13/2011 0:00:00,11.00,10.00,2011.00,10/11/2011 0:00:00
176,"coll2011","Murray Harbour",46.06,-62.45,"  Deployed on July 18, 2011 in 28-30 feet of water. Temperature recorder on #1771.
  Picked up 26 collectors October 21, 2011. 4 collectors were not recovered ; #'s 1749, 1748, 1751 and 1759. According to field notes all collectors came up well.",18.00,7.00,2011.00,7/18/2011 0:00:00,21.00,10.00,2011.00,10/21/2011 0:00:00
177,"coll2011","Covehead",46.44,-63.15," Deployed on July 5 in 19-23 feet. Temp. recorder on 0556.  Picked up all 30 collectors on Sept 30.  According to field notes all collectors came up well with the exception of # 1746 that flipped when landing on the boat and lost some of its gravel.",5.00,7.00,2011.00,7/5/2011 0:00:00,30.00,9.00,2011.00,9/30/2011 0:00:00
178,"coll2011","Alberton",46.73,-63.96,"  Deployed 30 collectors on July 6, 2011 in 27-30 feet of water.  Temperature recorder on #0584.
  Picked up all 30 collectors September 26, 2011. According to field notes all collectors came up well.",6.00,7.00,2011.00,7/6/2011 0:00:00,26.00,9.00,2011.00,9/26/2011 0:00:00
179,"coll2011","Fortune",46.30,-62.33,"Deployed on July 5, 30 coll. depth of 29-31' and 5 coll. at 67-70 feet not in DB in separate Excel file (1789, 1803, 1805, 1777, 1780).  Temp. recorder on 1780 and 1785.  Picked up collectors Sept 29.  According to field notes all collectors came up well.",5.00,7.00,2011.00,7/5/2011 0:00:00,29.00,9.00,2011.00,9/29/2011 0:00:00
713,"coll2012","Nine Mile Creek",46.10,-63.22,"Deployed on July 10, 2012 in 24-25 feet (#1021 to #1050 with the temperature recorder attached to #1023).  All collectors were retrieved on October 10, 2012 with the exception of #1030.  Locations of individual collectors in attached file.",10.00,7.00,2012.00,7/10/2012 0:00:00,10.00,10.00,2012.00,10/10/2012 0:00:00
