"FK_Project_Code","Site_Name","R_Year","Collector_id","FK_Site_ID","Coll_no","Ret_Comments","Cond_ret"
"Coll08","Caraquet",2008.00,109,53,17,,1
"Coll08","Caraquet",2008.00,110,53,18,,1
"Coll08","Caraquet",2008.00,111,53,19,,1
"Coll08","Caraquet",2008.00,112,53,20,,1
"Coll08","Caraquet",2008.00,113,53,21,"torn apart when hauled up, data not entered",4
"Coll08","Caraquet",2008.00,114,53,22,,1
"Coll08","Caraquet",2008.00,115,53,23,,1
"Coll08","Caraquet",2008.00,116,53,24,,1
"Coll08","Caraquet",2008.00,117,53,25,,1
"Coll08","Caraquet",2008.00,118,53,26,"Biodiversity sample",1
"Coll08","Caraquet",2008.00,119,53,27,,1
"Coll08","Caraquet",2008.00,120,53,28,"Biodiversity sample",1
"Coll08","Caraquet",2008.00,121,53,29,"Biodiversity sample",1
"Coll08","Caraquet",2008.00,122,53,30,,1
"Coll08","Covehead",2008.00,123,54,1,"problem, mix-up: bag # 1,  some of #4 and #5 were together",1
"Coll08","Covehead",2008.00,124,54,2,,1
"Coll08","Covehead",2008.00,125,54,3,,1
"Coll08","Covehead",2008.00,126,54,4,"problem, mix-up: bag # 1,  some of #4 and #5 were together",1
"Coll08","Covehead",2008.00,127,54,5,"problem, mix-up: bag # 1,  some of #4 and #5 were together",1
"Coll08","Covehead",2008.00,128,54,6,"Biodiversity sample",1
"Coll08","Covehead",2008.00,129,54,7,,1
"Coll08","Covehead",2008.00,130,54,8,"Biodiversity sample",1
"Coll08","Covehead",2008.00,131,54,9,,1
"Coll08","Covehead",2008.00,132,54,10,"Biodiversity sample",1
"Coll08","Covehead",2008.00,133,54,11,,1
"Coll08","Covehead",2008.00,134,54,12,,1
"Coll08","Covehead",2008.00,135,54,13,,1
"Coll08","Covehead",2008.00,136,54,14,,1
"Coll08","Covehead",2008.00,137,54,15,,1
"Coll08","Covehead",2008.00,138,54,16,,1
"Coll08","Covehead",2008.00,139,54,17,,1
"Coll08","Covehead",2008.00,140,54,18,,1
"Coll08","Covehead",2008.00,141,54,19,,1
"Coll08","Covehead",2008.00,142,54,20,,1
"Coll08","Covehead",2008.00,143,54,21,,1
"Coll08","Covehead",2008.00,144,54,22,"Was flipped over, no data entered.",5
"Coll08","Covehead",2008.00,145,54,23,,1
"Coll08","Covehead",2008.00,146,54,24,,1
"Coll08","Covehead",2008.00,147,54,25,,1
"Coll08","Covehead",2008.00,148,54,26,"Biodiversity sample",1
"Coll08","Covehead",2008.00,149,54,27,"Biodiversity sample",1
"Coll08","Covehead",2008.00,150,54,28,,1
"Coll08","Covehead",2008.00,151,54,29,,1
"Coll08","Covehead",2008.00,152,54,30,"Biodiversity sample",1
"Coll08","Arisaig",2008.00,153,55,1,,1
