Site_id,FK_Project_Code,Site_Name,C_Enter_Lat,C_Enter_lon,Comments,S_Day,S_Month,S_Year,S_Date,R_Day,R_Month,R_Year,R_Date
50,Coll08,Bedeque,,,Les collecteurs ont été déposés juste à côté du site prévu.  Temperature probe on collector #5.  Les 5 derniers collecteurs n'ont pas de cow tags.  Les runners beaucoup mangé par les verres (toutes les trappes).,9,6,2008,6/9/2008,13,11,2008,11/13/2008
51,Coll08,Neguac,,,,4,6,2008,6/4/2008,20,10,2008,10/20/2008
52,Coll08,Shediac,,,"Collecteurs mis à l'eau le long de la lisse.
Y'a des barnacles, ils se défont.",2,6,2008,6/2/2008,25,10,2008,10/25/2008
53,Coll08,Caraquet,47.839,64.87483,"Toute 20 pieds entre chaque ligne et 25 à 30 pieds entre chaque ligne, ++ de moule, un peu d'algue et kelp, ++ snails, hermit crabs, petit crabes de roches.  Celles avec du gravel dedans en perdaient beaucoup quand elles étaient flippées.  Coll #5 et #21",22,5,2008,5/22/2008,18,10,2008,10/18/2008
54,Coll08,Covehead,46.4424,63.1631,"Temperature probe installed on collector no 5
-No cow tags were installed on last line
-Les lignes ne sont pas en ordre numérique
Trap 22 was flipped over so no data is entered in DB.",10,6,2008,6/10/2008,16,10,2008,10/16/2008
55,Coll08,Arisaig,,,"Collecteurs ont été mis à l'eau 2 ligne à la fois en utilisant chaque côté du bateau.  Pas bons résultats, 26/30.  De plus les lignes étaient très proches et parfois entre-croisées.  Collecteur #6 était flippé, alors données n'ont pas été entrées.",5,6,2008,6/5/2008,10,10,2008,10/10/2008
57,coll09,Covehead,46.44262011,-63.15539943,"The first 5 collectors were retrieved on 22/9/2009 and the other 25 on the 1/10/2009, because of boat failure.  Temp probe on 5.",7,7,2009,7/7/2009,1,10,2009,10/1/2009
58,coll09,Alberton,46.73965167,-63.97061722,Temp probe on 663,8,7,2009,7/8/2009,22,9,2009,9/22/2009
59,coll09,Murray Harbour,46.06394583,-62.45490774,"Some collectors are considered as being upside down on the bottom, because of their appearance and lack of gravel, data from those were not entered in database; 694, 698, 702, 711, 715, and are coded as ""damaged"".",9,7,2009,7/9/2009,2,10,2009,10/2/2009
60,coll09,Arisaig,,,5 of the collectors were not located; buoys were under water.,2,7,2009,7/2/2009,16,10,2009,10/16/2009
61,coll09,Skinner's Pond,46.94249222,-64.18624722,Temp probe on collector 763,17,7,2009,7/17/2009,5,11,2009,11/5/2009
62,coll09,Nine Mile Creek,46.10314833,-63.22547056,Temp probe on collector 723,3,7,2009,7/3/2009,25,9,2009,9/25/2009
63,coll09,Fortune,46.30033333,-62.33817529,Temperature log on collector 636. Collector #647 was not recovered.,3,7,2009,7/3/2009,21,9,2009,9/21/2009
71,coll2010,Fortune,46.30091952,-62.33364,"-Big samples:  1808 (deep set), 1787, 1798, 1789, 1778
-1806-1810 at 70 feet not in DB in separate Excel file.
-According to field notes all collectors came up well.  
-Temp probe on 1788.
-One collectors was not recovered.",6,7,2010,7/6/2010,21,9,2010,9/21/2010
